TOWN,PCODE
BELLE OMBRE,0142
"BELLE OMBRE, Constantia",7800
"BELLEVUE CENTRAL, Johannesburg",2198
"BELLEVUE EAST, Johannesburg",2198
"BELLEVUE SENTRAAL, Johannesburg",2198
"BELLEVUE, Johannesburg",2198
"BELLEVUE, Pietermaritzburg",3201
"BELLEVUE, Upington",8800
"BELLEVUE-OOS, Johannesburg",2198
"BELLRAIL, Bellville",7530
"BELLVIEW, Wellington",7655
BELLVILLE,7530
BELLVILLE  Streets,7530
BELLVILLE Boxes,7535
"BELLVILLE SOUTH, Bellville",7530
"BELLVILLE-SUID, Bellville",7530
BELMONT,8720
"BELMONT PARK, Kraaifontein",7570
"BELTHORNE Est/Lgd, Lansdowne",7780
"BELVEDERE, Hillcrest",3610
"BELVEDERE, Tongaat",4400
"BELVINIE Est/Lgd, Matroos",7490
"BEN FLEUR, Witbank",1049
"BEN KAMMA, Port Elizabeth",6025
"BEN SCHOEMAN DOCKS, Cape Town",8001
"BEN SCHOEMAN DOKKE, Kaapstad",8001
"BENDOR PARK, Polokwane",0699
"BENFARM, Phalaborwa",1389
"BENICON PARK, Witbank/Emalahleni",1034
BENIN - Cotonou,Z008
BENIN - Other Areas,Z008
BENMORE,2010
"BENMORE GARDENS, Johannesburg",2196
"BENNO PARK, Kuilsriver",7580
BENONI,1501
BENONI Boxes,1500
"BENONI Ext/Uit 4, Benoni",1501
"BENONI NORTH, Benoni",1501
BENONI SOUTH Boxes,1502
"BENONI SOUTH, Benoni",1501
BENONI WEST Boxes,1503
"BENONI WEST, Benoni",1501
"BENONI-NOORD, Benoni",1501
BENONI-SUID Busse,1502
"BENONI-SUID, Benoni",1501
BENONI-WES Busse,1503
"BENONI-WES, Benoni",1501
BENORYN Boxes,1504
"BENORYN, Benoni",1501
BENROSE,2094
BENROSE Boxes,2011
"BERARIO, Johannesburg",2195
"BEREA PARK, Pretoria",0002
"BEREA ROAD, Durban",4007
"BEREA WEST, Westville",3630
"BEREA, Durban",4001
"BEREA, East London",5241
"BEREA, Johannesburg",2198
"BEREA-WES, Westville",3630
BEREAVILLE,7232
"BEREAWEG, Durban",4007
BERGBRON & Ext/Uit 1 - 3,1709
"BERGENDAL FARM, Citrusdal",7340
"BERGENDAL, Bloemfontein",9301
"BERGSIG, Bethlehem",9700
"BERGSIG, Caledon",7230
"BERGSIG, Calitzdorp (Monday,Wed & Friday onlybuf)",6660
"BERGSIG, Durbanville",7550
"BERGSIG, George",6529
"BERGSIG, Harrismith",9880
"BERGSIG, Harrismith (Serviced out of Bethlehem)",9881
"BERGSIG, Heidelberg (Tvl)",2400
"BERGSIG, Kirkwood",6120
"BERGSIG, Montagu",6720
"BERGSIG, Queenstown/ Komani",5320
"BERGSIG, Springbok",8240
"BERGSIG, Worcester",6850
"BERGVIEW, Musina",0900
BERGVILLE (Tuesday & Thursday),3350
