TOWN,PCODE
"BOSVILLE, Middelburg (Tvl)",1050
BOT RIVER,7185
"BOTANIC GARDENS, Durban",4001
BOTHA,6857
BOTHA'S HILL,3660
BOTHASIG Boxes,7406
BOTHASIG Streets,7441
"BOTHASKOP, Aliwal North",5532
BOTHAVILLE,9660
"BOTLENG, Delmas",2210
BOTLOKWA,0559
BOTRIVIER,7185
BOTSHABELO,9781
BOTSHABELO Boxes,9781
BOTSWANA - Gaberone (INT),Z001
BOTSWANA - Other Areas (INT),Z001
BOTTERKLOOF ( Tuesday & Thursday only),6774
"BOTTLEBRUSH, Richards Bay",3903
"BOUGHTON, Pietermaritzburg",3201
BOURKE'S LUCK (On Request),1272
BOYNE,0728
BRAAMBOS MILITARY BASE,0954
BRAAMFONTEIN Boxes,2017
"BRAAMFONTEIN, Johannesburg",2001
BRACKEN DOWNS & Ext,1449
BRACKEN DOWNS Boxes,1454
"BRACKEN DOWNS Ext 1 - 5, Alberton",1449
BRACKEN GARDENS Boxes,1452
"BRACKEN GARDENS, Alberton",1449
"BRACKEN HEIGHTS, Brackenfell",7560
BRACKENFELL,7560
"BRACKENHAM, Richards Bay",3900
BRACKENHURST & Ext A,1449
"BRACKENHURST Ext 2, A",1449
"BRACKVILLE, Brackenfell",7560
"BRAELYN HEIGHTS, East London",5209
"BRAELYN, East London",5201
"BRAEMAR (Monday, Wednesday & Friday)",4202
"BRAKFONTEIN, Centurion",0157
"BRAKFONTEIN, East London",5256
"BRAKFONTEIN, Parys",9585
BRAKPAN,1540
BRAKPAN NORTH,1545
BRAKPAN-NOORD,1545
"BRAM FISCHERVILLE, Dobsonville",1875
"BRAMHOPE, Port Elizabeth",6025
BRAMLEY Boxes,2018
"BRAMLEY GARDENS, Johannesburg",2090
"BRAMLEY MANOR, Johannesburg",2090
"BRAMLEY NORTH, Johannesburg",2090
"BRAMLEY PARK, Johannesburg",2090
"BRAMLEY RESERVE, Johannesburg",2090
"BRAMLEY VIEW, Johannesburg",2090
"BRAMLEY, Johannesburg",2090
"BRAMLEY-NOORD, Johannesburg",2090
BRAND'S POST,9871
BRANDFORT,9400
BRANDFORT (Serviced out of BFN),9400
BRANDHOF Boxes,9324
"BRANDHOF, Bloemfontein",9301
BRANDPAN,9471
BRANDSPRUIT (Monday & Wednesday),2303
BRANDVLEI,8915
"BRANDVLEI, Cape Town",7020
"BRANDVLEI, Randfontein",1759
"BRANDWAG, Bloemfontein",9301
"BRANDWAG, George",6507
"BRANDWAG, Kuilsrivier",7580
"BRANDWAG, Macassar",7130
"BRANDWAG, Stellenbosch",7600
"BRANDWAG, Worcester",6850
"BRANDWOOD, Kuilsrivier",7580
BRAY (Special Only),8620
BRAZIL - Other Areas,Z008
BRAZIL - Rio de Janeiro,Z008
BRAZIL - Sao Paulo,Z008
"BREAUNANDA Ext/Uit 1 - 3,",1724
"BREAUNANDA, Krugersdorp",1739
"BRECKNOCK, Bryanston",2021
BREDASDORP,7280
BREDELL,1619
BREEDE RIVER,6858
"BREIDBACH, Kingwilliams/ Qonce",5600
"BREIPAAL, Douglas",8730
BREIRIVIER,6858
"BRENCANIA, Brakpan",1540
"BRENDAVERE, Bryanston",2021
"BRENTHURST & Ext/Uit 1, B",1540
BRENTHURST Boxes,1542
"BRENTON ON SEA, Knysna",6570
"BRENTPARK, Kroonstad",9499
BRENTWOOD PARK & Ext,1501
BRENTWOOD PARK Boxes,1505
"BRENTWOOD PARK, Durbanville",7550
"BRENTWOOD PARK, Port Elizabeth",6025
"BRENTWOOD VILLAGE, Table View",7441
"BRENTWOODPARK, Eersteriver",7100
BREYTEN (Tues & Thurs Only),2330
BRIARDALE,4037
"BRIARDENE, Durban North",4051
"BRIDGEBANK, Somerset West",7130
"BRIDGEMEAD, Port Elizabeth",6025
"BRIDGETOWN, Athlone",7764
BRIDGMANVILLE,6621
BRIDGTON Boxes,6623
"BRIDGTON, Oudtshoorn",6620
"BRIDLE PARK, Midrand",1685
BRIGHTON BEACH Boxes,4009
"BRIGHTON BEACH, Durban",4052
"BRIGHTSIDE, Ladybrand",9745
"BRINDHAVEN, Verulam",4339
BRITANNIA BAY,7282
BRITISH VIRGIN ISLANDS,Z009
BRITS,0250
"BRITS Ext/Uit 11, Brits",0250
BRITSTOWN (Wednesday Only),8970
BRIXTON Boxes,2019
"BRIXTON, Johannesburg",2092
"BRIZA Est/Lgd, Somerset W",7130
"BROADACRES, Johannesburg",2021
"BROADLANDS, Cape Town",7140
"BROADWAY, Johannesburg",2020
"BROADWOOD, Port Elizabeth",6070
BROEDERSPUT  (Special Only),8624
BROEDERSTROOM,0240
"BROEDERSTROOM, Hartbeespoort (Plot)",0240
BROMBEEK  (Tuesday & Thursday Only),0906
BROMHOF Boxes,2154
"BROMHOF, Randburg",2154
"BRONBERG, Pretoria",0081
"BRONBERRIK, Verwoerdburg",0157
"BRONDAL, Nelspruit",1201
BRONKHORSTSPRUIT,1020
BRONVILLE,9473
BROOKDALE,4068
"BROOKDALE, Durban",4051
"BROOKLYN, Pretoria",0181
"BROOKLYN, Ysterplaat",7405
"BROOKLYN,PRETORIA Boxes",0011
"BROOKMEAD, East London",5247
"BROOKVILLE, East London",5201
"BRUMA, Johannesburg",2198
"BRUMMERIA & Ext 2,",0184
BRUNEI - Bandar Seri,Z009
BRUNEI - Begawan,Z009
BRUNEI - Other Areas,Z009
"BRUNTVILLE, Mooirivier",3300
BRUYNS HILL,3452
"BRYANBRINK, Randburg",2194
BRYANSTON,2191
BRYANSTON Boxes,2021
"BRYANSTON EAST, Sloane Park",2152
"BRYANSTON Ext/Uit 3 & 5, Randburg",2194
"BRYANSTON Ext/Uit 32, Petervale",2151
"BRYANSTON Ext/Uit 4, 7, 1",2021
BRYANSTON Ext/Uitmerview,2060
"BRYANSTON MANOR, Randburg",2194
BRYANSTON SHOPPING CENTRE,2021
"BRYANSTON WEST, Cramerview",2060
"BRYANSTON-OOS, Sloane Park",2152
"BRYANSTON-WES, Cramerview",2060
"BRYMORE, Port Elizabeth",6025
"BRYNTIRION, Pretoria",0083
"BUCCLEUCH, Sandton",2066
"BUCKINGHAM Est/Lgd, Rondebosch",7780
"BUCKINGHAM, Syferfontein",2710
"BUENA VISTA, Amanzimtoti",4126
"BUFFALO FLATS & Ext/Uit,",5209
"BUFFALO PASS HEIGHTS, East London",5247
"BUFFALO Tsp/Dgd, East London",5201
"BUFFELJAGS RIVER ( Monday,Wednesday & Friday only)",6742
"BUFFELS BAY, Knysna",6570
"BUFFELSBAAI, Knysna",6570
"BUFFELSDALE, Tongaat",4400
BUFFELSFONTEIN,2571
BUFFELSHOEK,1360
BUFFELSPOORT,0284
BUFFELSRIVIER (Monday & Wednesday Only),8251
"BUHLE, Germiston",1401
BUHRMANSDRIF (Tuesday's & Thursday's),2867
"BUITENZORG VILLAGE, Table View",7441
BULEMBU AIRPORT,9996
BULGARIA - Other Areas,Z008
BULGARIA - Sofia,Z008
"BULGE RIVER (Monday,Wednesday & Friday)",0531
"BULGERIVIER (Monday, Wednesday & Friday)",0531
"BULL HILL (Monday,Wednesday & Friday)",8535
BULTFONTEIN,9670
"BULTFONTEIN, Pyramid",0120
BULTHOUDERSIG,6971
"BULTIES Est/Lgd, Somerset west",7130
"BULURA, East London",5201
"BULURA, East London",5201
BULWER,4575
"BULWER, BEREA, Durban",4083
BULWOOD,4010
BUNGENI VILLAGE (Tues & Thurs Only),0960
"BUNKERS HILL, East London",5241
"BUNN, Kimberley",8301
"BURGERSDORP, Free State",9744
"BURGERSDORP, Johannesburg",2092
"BURGERSDORP, Limpopo",0850
BURGERSFORT,1150
"BURGERSHOOP, Krugersdorp",1739
BURGERSPARK,0012
"BURGUNDY ESTATE, Cape Town",7441
BURKINA FASO,Z008
"BURLINGTON HEIGHTS, Durban",4051
BURMA - Other Areas,INT
BURMA - Ragoon,Z000
"BURNDALE FARM UMHLALI, Balito",4390
BURUNDI - Bujumbura,Z008
BURUNDI - Other Areas,Z008
"BUSHBUCKRIDGE (Mon, Wed & Fri Only)",1280
"BUSHHILL, Bromhof",2154
"BUSHKOPPIES, Kliptown",1812
"BUSHLANDS, Durban",4052
BUSHMANS RIVER MOUTH,6190
BUSMANSNEK ( Upon Request),4590
"BUTT FARMING, KAMBERG",3300
BUTTERWORTH,4960
"BUURENDAL, Edenvale (Tvl)",1609
BUXEDENI,3938
"BUYSCELIA, Randvaal",1961
BUYSDORP (Tuesday & Thursday Only),0923
"BYDAND FARMS, Addo",6105
"BYNESPOORT, Cullinan",1000
"C-PLACE, Jeffreys Bay",6330
"CACADU (Tues, Wed, Thurs Only)",5410
"CALA (KALA) ( Tuesday's, Wednesday & Friday Only)",5455
CALEDON,7230
"CALEDON SQUARE, CAPE TOWN",7905
"CALEDONPLEIN, Cape Town (boxes)",7905
"CALEDONSPOORT, Fouriesburg (Serviced out of Bethle",9725
CALIFORNIA FARM - LETSITELE,0885
"CALITZDORP (Monday, Wednesday & Friday only)",6660
CALVINIA,8190
"CALYPSO BEACH, Langebaan",7357
CAMBODIA,Z009
CAMBRIDGE Boxes,5206
"CAMBRIDGE Est/Lgd, Milner",7441
CAMBRIDGE WEST Boxes,5207
"CAMBRIDGE WEST, East London",5247
"CAMBRIDGE, East London",5247
"CAMBRIDGE, Milnerton",7441
CAMBRIDGE-WES Busse,5207
"CAMBRIDGE-WES, Oos-Londen",5247
"CAMELOT, Eersterivier",7100
CAMEROON - Douaja,Z008
CAMEROON - Other Areas,Z008
CAMPBELL (Wednesday Only),8360
"CAMPBELLDORP, Klerksdorp",2570
"CAMPBELLSTOWN, Mount Edge",4300
CAMPERDOWN,3720
"CAMPHERSDRIFT, George",6529
CAMPS BAY Boxes,8040
"CAMPS BAY, Cape Town",8001
"CAMPSDRIFT, Pietermaritzburg",3201
CANADA - Montreal,Z006
CANADA - Other Areas,Z006
CANADA - Toronto,Z006
CANADA - Vancouver,Z006
CANARY ISLANDS - Las Palmas,Z000
CANARY ISLANDS - OTHER AREAS,Z008
CANELANDS,4341
"CANESIDE, Durban",4051
CANNON ROCKS,6186
CAPE FARMS,7765
"CAPE FRUIT PROCESSORS, Hoedspruit",1380
CAPE GATE,7562
CAPE POINT,7995
CAPE ST FRANCIS,6300
CAPE TOWN,8001
CAPE TOWN Boxes,8000
CAPE TOWN DEPOT,8001
CAPE VERDE,Z008
"CAPEST FRANCIS, Humansdorp",6300
CAPITAL PARK Boxes,0013
"CAPITAL PARK, Pretoria",0084
"CAPRI VILLAGE,Fish Hoek",7975
"CAPRICORN, Cape Town",7948
"CAPRICORN, Pietersburg",0699
CARAVELLE Boxes,7787
CARAVELLE Streets,7785
"CARENVALE, Roodepoort",1724
CARIBBEAN - All Islands,Z000
CARLETONVILLE,2500
"CARLETONVILLE Ext 8,",2500
"CARLSWALD, Midrand",1684
"CARLTON CENTRE, Johannesburg",2001
CARNARVON (Tuesday's Only),7060
"CAROLINA (Monday, Wednesday & Friday Only)",1185
CAROLUSBERG,8247
"CAROLWOOD, Fish Hoek",7975
"CARRINGTON HEIGHTS, Durban",4001
"CARTERS GLEN, Kimberley",8301
CASCADES,3202
CASCADES (Boxes),3202
"CASEDENE, Pietermaritzburg",3201
"CASHAN, Rustenburg",0300
"CASON, Boksburg",1459
"CASSANDRA, Kimberley",8301
"CASSELDALE, Springs",1559
"CASSIM PARK, Ermelo",2350
CASTEEL (MABOKE) (Wednesday & Friday Only),1280
"CASTLE ROCK, Simonstown",7995
CASTLETOWN Boxes,7832
"CASTLETOWN, Plumstead",7800
"CASTLEVIEW, Germiston",1401
CATHCART,5310
CATHEDRAL PEAK (Freight Dependant),3342
"CATHKIN Est/Lgd, Athlone",7764
CATHKIN PARK (Tuesday & Thursday),3310
CATO,4091
CATO MANOR,4091
CATO RIDGE,3680
"CAVENDISH, Queensburgh",4093
"CAVERSHAM GLEN, Pinetown",3610
CAYMAN ISLANDS - Grand Cayman,Z008
"CE 1 - 5, Vanderbijlpark",1911
"CEDAR LAKES, Johannesburg",2021
"CEDARVILLE (Monday, Wednesday & Friday)",4720
CEDERBERG,8136
"CEDRELA, Koster",2825
CEGCUWANA,4970
"CELTISDAL, Centurion",0157
"CENTENARY PARK, Durban",4051
"CENTOCOW (Monday, Wednesday & Friday)",4601
CENTRAHIL,6006
CENTRAL AFRICAN REP - Bangui,Z008
CENTRAL AFRICAN REP - Other Areas,Z008
"CENTRAL WESTERN JABAVU, Pimville",1808
"CENTRAL, East London",5201
"CENTRAL, Port Elizabeth/ Gqeberha",6001
CENTURION,0157
"CENTURY CITY, Cape Town",7441
CERES,6835
"CERUTIVILLE, Nigel",1490
CEZA (Tuesday & Thursday),3866
CHAD - Ndjamena,Z008
CHAD - Other Areas,Z008
CHALUMNA,5264
"CHAMDOR, Krugersdorp",1739
"CHAMPAGNE CASTLE, Drakensberg (Freight Dependant)",3339
CHANNEL ISLANDS - Guernsey,Z006
CHANNEL ISLANDS - Jersey,Z005
"CHANTECLER, Durbanville",7550
"CHAPMAN'S PEAK, Cape Town",7979
CHAPMANS BAY ESTATE,7978
CHARL CILLIERS (Wednesday Only),2301
"CHARLES LLOYD Tsp/Dgd, Ea",5209
CHARLESTON HILL Boxes,7621
"CHARLESTON HILL, Paarl",7646
"CHARLESTOWN (Mon, Wed & Fri) Serviced out of DUR",2473
"CHARLESTOWN (Mon, Wed & Fri) Serviced out of JNB",2473
"CHARLESVILLE, Jagersfontein (Wed & Frid Only)",9974
"CHARLESVILLE, Matroosfont",7490
"CHARLO & Ext/Uit 5, Port Elizabeth",6070
"CHARTERSTON, Nigel",1490
CHARTWELL,1748
"CHARUGO Est/Ldg, Grassy Park",7785
"CHASE VALLEY DOWNS,Pietermaritzburg",3201
CHASE VALLEY HEIGHTS,3201
"CHASE VALLEY, Pietermaritzburg",3201
"CHASEDENE, Pietermaritzburg",3201
CHATSGLEN,4012
CHATSWORTH Boxes,4030
"CHATSWORTH, Durban",4092
"CHATTY, Port Elizabeth",6059
CHEBENG,0756
"CHELMSFORD PARK, Pinetown",3610
"CHELMSFORDVILLE, Gillitts",3610
"CHELSEA Est/Lgd, Lansdown",7780
"CHELSEA, Port Elizabeth/Gqeberha",6001
"CHELSEA, Port Elizabeth/Gqeberha",6001
"CHELTONDALE, Johannesburg",2192
CHEMPET Boxes,7442
"CHEMPET, Milnerton",7441
"CHESTERVILLE, Durban",4001
CHILE - Other Areas,Z008
CHILE - Santiago,Z008
"CHILTERN HILLS, Westville",3630
CHINA - Beijing,Z007
CHINA - Other Areas,Z007
CHINTSA EAST,5275
CHINTSA WEST,5275
"CHISELHURST & Ext/Uit, Ea",5247
"CHISELHURST Ext/Uit 3, Ea",5247
"CHISLEHURSTON, Johannesburg",2196
CHLOORKOP,1624
"CHRISMAR Est/Lgd, Bellville",7530
CHRISSIEFONTEIN,1963
CHRISSIESMEER (Thursday Only),2332
CHRISTIANA,2680
CHRISTMAS ROCK,5264
"CHRISTOBURG, Pretoria",0183
"CHRISVILLE & Ext/Uit 1,",2091
"CHROMEVILLE, Middelburg",1050
CHROMITE,0362
"CHROOMPARK, Potgietersrus (Mokopane)",0600
CHUENESPOORT,0745
"CHURCHILL Est/Lgd, Parow",7500
CINDA PARK Boxes,1463
"CINDA PARK, Boksburg",1459
"CINDERELLA, Boksburg",1459
CINTSA EAST,5275
CINTSA-OOS,5275
CITRUSDAL,7340
"CITY & SUBURBAN,Johannesburg",2094
CITY DEEP Boxes,2049
"CITY DEEP, Johannesburg",2001
"CITY WEST, Johannesburg",2092
"CLAIREWOOD, Eersterivier",7100
"CLAIRWOOD, Durban",4052
"CLAM HALL, Parow",7500
CLANOR(Tuesday & Thursday Only),1351
"CLANSTHAL, Umkomaas",4170
CLANWILLIAM,8135
"CLARE Est/Lgd, Durban",4091
"CLARE HILLS, Durban",4091
"CLAREDON, Pietermaritzburg",3201
CLAREINCH Boxes,7740
CLAREINCH Streets,7700
CLAREMONT,7708
"CLAREMONT ,Cape Town",7708
"CLAREMONT, Johannesburg",2092
"CLAREMONT, Pretoria",0082
"CLARENDON Est/Lgd, Mowbra",7700
"CLARENDON, Pietermaritzburg",3201
CLARENS (Serviced out of Bethlehem),9708
"CLARENSPARK, Edenvale",1609
CLARIDGE,3400
"CLARKES Est/Lgd, Elsiesriver",7490
CLARKSON,6302
"CLAUDIUS, Laudium",0037
"CLAYFIELD, Durban",4051
CLAYVILLE & Ext/Uit 7 & 1,1665
"CLAYVILLE EAST, Olifantsfontein",1665
"CLAYVILLE, Olifantsfontein",1666
"CLEARY Est/Lgd, Port Elizabeth",6059
"CLELAND, Pietermaritzburg",3201
"CLERMONT, Pinetown",3610
CLERNAVILLE Boxes,3602
"CLEVEDEN, Johannesburg",2094
CLEVELAND Boxes,2022
"CLEVELAND, Johannesburg",2094
CLEWER,1036
CLIFFDALE,3700
"CLIFTON PARK, East London",5247
"CLIFTON PARK, Gillitts",3610
"CLIFTON, Cape Town",8001
CLOCOLAN,9735
CLOETESVILLE Boxes,7611
"CLOETESVILLE, Stellenbosch",7600
"CLOVELLY, Fish Hoek",7975
"CLOVERDENE, Putfontein",1513
CLUBVIEW Boxes,0014
"CLUBVIEW EAST, Verwoerdburg",0157
"CLUBVIEW WEST, Verwoerdburg",0157
"CLUBVIEW, Centurion",0014
"CLUBVIEW, Fish Hoek",7975
"CLUBVIEW, Verwoerdburg",0157
"CLUBVIEW-OOS, Verwoerdburg",0157
"CLUBVIEW-WES, Verwoerdburg",0157
"CLUBVILLE, Middelburg",1050
"CLYDESDALE, Pretoria",0002
"CLYNTON, Johannesburg",2196
COALVILLE,1033
COEGA,6100
COETZENBURG Boxes,7602
"COETZENBURG, Stellenbosch",7600
COETZERSDAM  (Special Only),8611
COFFEE BAY (Special Trip & Added Charges!),5082
COFIMVABA,5380
COLBYN Boxes,0015
"COLBYN, Pretoria",0083
COLCHESTER (Tuesday & Friday Only),6175
COLDSTREAM (Monday & Wednesday Only),6311
COLENSO,3360
COLESBERG,5980
"COLESKEPLAAS ( Monday, Wednesday & Friday only)",6689
COLIGNY,2725
"COLLEEN GLEN, Port Elizabeth",6001
"COLLERVILLE, Klerksdorp",2570
"COLLONDALE, East London",5201
"COLLONDALE, East London",5201
COLOMBIA - Botaga,Z008
COLOMBIA - Other Areas,Z008
"COLORADO PARK, Mitchells Plain",7785
"COLRIDGE, Vryburg",8601
COLUMBIA - BARRANGUILLA,Z008
"COLVILLE, Kimberley",8301
"COMET, Boksburg",1459
"COMMERCIA, Midrand",1682
COMMONDALE (Wednesday Only),2385
COMORES - Moroni,Z008
"COMPTONVILLE, Johannesburg",2064
"CONCORDIA, Knysna",6571
"CONCORDIA, O'Kiep (Special Trip)",8271
CONERA Boxes,9431
"CONERA, Virginia (OFS)",9430
CONGELLA,4013
"CONGELLA, Durban",4001
CONGO - Brazzaville,Z008
CONGO - Other Areas,Z008
CONGO - Pointe-Noire,Z008
"CONISTON PARK, Retreat",7785
"CONISTON, Constantia",7800
"CONISTON, Verulam",4340
CONLINK TRUST/COOLING FARM,3450
"CONNAUGHT Est/Lgd, Elsies",7490
"CONSOLIDATED MAIN REEF, F",1709
"CONSORT PARK, Retreat",7785
CONSTANTIA,7806
CONSTANTIA Cape Town,7800
"CONSTANTIA HILL Est/Lgd,C",7800
"CONSTANTIA KLOOF, Florida",1709
"CONSTANTIA, East London",5247
"CONSTANTIA, Lengau",9499
CONSTANTIABERG,7806
"CONSTANTIAPARK, Pretoria",0010
"CONSTANTIAVALE, Constantia",7800
"CONVILLE, George",6529
COOK ISLANDS,Z008
COOKHOUSE,5820
COOPER'S KLOOF,6007
COPESVILLE,3254
COPPERTON  (Special Only),8935
COR DELFOS,0016
CORK (Monday's Only - Special),1246
"CORLETT GARDENS, Johannesburg",2090
CORNELIA (Serviced out of Bethlehem),9850
CORNUBIA,4130
"CORNUTA, Retreat",7785
"CORNWALL HILL, Irene",0178
CORONA,0254
CORONATION,3107
"CORONATIONVILLE, Johannesburg",2093
"CORRIDOR HILL, Witbank/Emalahleni",1044
"CORRIEMOOR, Johannesburg",2195
COSMO CITY,2188
COSTA RICA - Other Areas,Z008
COSTA RICA - San Jose,Z008
COTE d'IVOIRE,Z007
"COTSWOLD & Ext/Uit, Port Elizabeth",6045
"COTSWOLD Ext/Uit 2, Port Elizabeth",6045
"COTSWOLD HILLS, Westville",3630
"COTTESLOE, Johannesburg",2092
COTTONDALE (48 Hours),1361
"COUNTRY LIFE PARK, Cramerview",2060
"COURTRAI, Paarl",7646
"COVE RIDGE EAST, East London",5209
"COVE ROCK, East London",5201
"COWDRAY PARK, Cramerview",2060
"COWIE'S HILL PARK, Pinetown",3610
"COWIE'S HILL, Pinetown",3610
"CRADLEWOOD FARM, Tarlton",1749
CRADOCK (NXUBA),5880
"CRADOCK PLACE, Port Elizabeth/ Gqeberha",6001
"CRAIGAVON, Bryanston",2021
"CRAIGBAIN Tsp/Dgd, Port Elizabeth/ Gqeberha",6001
CRAIGHALL Boxes,2024
"CRAIGHALL PARK, Johannesburg",2196
"CRAIGHALL, Johannesburg",2196
"CRAIGIEBURN, Umkomaas",4170
"CRAMERVIEW, Bryanston",2060
CRAMOND,3420
"CRANBROOKVALE, Verwoerdburg",0157
CRAVENBY Boxes,7508
"CRAVENBY Est/Lgd, Elsiesriver",7490
"CRAVENBY, Matroosfontein",7490
CRAWFORD Boxes,7770
CRAWFORD Streets,7764
CRECY,0562
CREIGHTON,4600
"CRESSLAWNS, Kempton Park",1619
"CREST HOLME, Pinetown",3610
CRESTA,2194
"CRESTA & Ext/Uit 2, Randburg",2194
CRESTA Boxes,2118
"CRESTONHILL, Primrose",1401
"CRESTVIEW, Port Elizabeth",6025
"CRESWELL PARK, Roodepoort",1724
CROATIA  -OTHER AREAS,Z008
CROATIA - Zagreb,Z007
"CROESUS, Johannesburg",2093
"CROFTDENE, Chatsworth",4092
"CROFTERS VALLEY, Cape Town",7979
"CROMEVILLE, Middelburg",1050
"CROSBY, Johannesburg",2092
"CROSSMOOR, Chatsworth",4092
CROSSROADS Boxes,7753
"CROSSROADS, Gatesville",7764
"CROSSWAYS, East London",5256
"CROWN CITY, Johannesburg",2195
"CROWN GARDENS, Johannesburg",2091
CROWN MINES Boxes,2025
"CROWN MINES, Johannesburg",2092
"CROWTHORNE AH, Midrand",1685
"CROYDON, Cape Town",7710
"CROYDON, Kempton Park",1619
"CROYDON, Somerset West",7130
"CRUYWAGENPARK, Elsburg",1407
CRYSBESTOS  (Wednesday & Friday Only),1307
"CRYSTAL GARDENS, Johannesburg",2090
CRYSTAL PARK,1515
CRYSTAL PARK Boxes,1515
CRYSTAL PARK Ext/Uit 2 &,1515
"CULEMBEECK, Roodepoort",1724
"CULEMBORGPARK, Randfontein",1760
"CULLDENE, Cradock",5880
CULLINAN,1000
CUMBERWOOD Boxes,3235
"CUMBERWOOD, Pietermaritzburg",3201
CURACAO,Z009
CURRY'S POST,3304
"CW 1 - 6, Vanderbijlpark",1911
"CYFERFONTEIN, Walkerville",1876
CYPRES - Nicosia City,Z007
CYPRES - Other Areas,Z007
CYRILDENE Boxes,2026
"CYRILDENE, Johannesburg",2198
CZECH REPUBLIC - Prague,Z007
CZECH REPUCLIC - Other Areas,Z008
"D7 BOATING, Pongola",3170
"DA GAMA PARK, Simonstad",7995
DA GAMASKOP Boxes,6501
"DA GAMASKOP, Mosselbaai",6500
"DA NOVA, Mosselbay",6500
"DAANTJIE, Mpumalanga ( Tuesday & Thursday Only)",1215
"DADAVILLE, Vereeniging",1939
"DAGBREEK, Welkom",9459
"DAGGAFONTEIN & Ext/Uit 1,",1559
DAGGAFONTEIN Boxes,1573
"DAINFERN, Fourways",2055
"DAL FOUCHE, Springs",1559
"DAL JOSAFAT, Paarl",7646
DALBRIDGE,4014
"DALBRIDGE, Durban",4001
"DALECROSS, Johannesburg",2196
"DALESIDE, Randvaal",1961
"DALMADA, Polokwane",0699
"DALPARK & Ext/Uit 1, 6 &",1540
DALPARK Boxes,1543
"DALROPARK, Eersterivier",7100
"DALSIG, Stellenbosch",7600
DALTON,3470
DALVIEW Boxes,1544
"DALVIEW, Brakpan",1540
DAMONSVILLE,0250
DAMWAL,0470
"DAN PIENAAR, Bloemfontein",9301
"DAN PIENAARVILLE, Krugers",1739
DANA BAY,6510
"DANARAND, Kuilsrivier",7580
DANCKERTVILLE Boxes,7305
"DANCKERTVILLE, Malmesbury",7300
"DANENA, Bellville",7530
DANHAUSER ( Wednesdays Only),3080
DANHOF Boxes,9310
"DANHOF, Bloemfontein",9301
"DANIA PARK, Primrose",1401
"DANIEL BRINKPARK, Randburg",2194
DANIELSKUIL (Wednesday's Only),8405
DANIELSRUS (Serviced out of Bethlehem),9707
"DANSKRAAL, Ladysmith",3370
DANVILLE Boxes,0018
"DANVILLE, Mahikeng",2745
"DANVILLE, Pretoria",0183
DARGLE,3265
DARLING,7345
"DARRENWOOD & Ext/Uit 2, R",2194
DASPOORT Boxes,0019
"DASPOORT, Pretoria",0082
DASSENBERG Boxes,7350
DASSENBERG Streets,7349
"DASSENHOEK, Nagina",3604
"DASSIERAND, Potchefstroom",2520
"DAVANNA, Klerksdorp",2570
DAVEL,2320
DAVENPORT,4001
DAVEYTON,1507
DAVIDSONVILLE & Ext/Uit 2,1724
"DAVIDSONVILLE NORTH, Roodeport",1724
"DAVIDSONVILLE-NOORD, Roodeport",1724
"DAWID MALANVILLE, Kroonstad",9499
"DAWIDSBURG, Welkom",9459
"DAWKINSVILLE, Klerksdorp",2570
"DAWN CREST, Verulam",4340
"DAWN CREST, Westville",3630
"DAWN PARK & Ext/Uit 2, 4,",1459
"DAWN VIEW, Primrose",1401
"DAWN, East London",5247
"DAWNCLIFFE, Westville",3630
"DAYANGLEN, Boksburg",1459
"DAYIZENZA, Hazyview",1242
DE AAR,7000
"DE BEERS, Kimberley",8301
"DE BEERS, Pretoria",0181
"DE BEERSHOOGTE, Barkly West (Mon,Wed & Frid)",8375
"DE BRON, Bellville",7530
DE BRUG,9928
"DE BRUINPARK, Ermelo",2350
"DE BRUINPARK, Germiston",1401
"DE CLERQVILLE, Klerksdorp",2570
DE DEUR,1884
DE DEUR,1884
DE DOORNS,6875
"DE DUIN, Parow",7500
DE KELDERS,7220
"DE KUILEN, Kuilsrivier",7580
"DE MIST, Uitenhage/ Kariega",6230
"DE RUST, Hazyview",1242
"DE RUST, W.Cape (Mon, Wed & Fri Only)",6650
DE TIJGER,7502
"DE TIJGERPARK, Parow",7500
DE WAGENSDRIFT,1002
"DE WATERKANT, Cape Town",8001
DE WET,6853
"DE WIJNLANDEN, Stellenbosch",7500
DE WILDT,0251
"DE ZOETE INVAL, Paarl",7646
"DEACONVILLE, Macassar",7130
"DEAL PARTY, Port Elizabeth/ Gqeberha",6001
"DEALES GIFT, Bloemfontein",9301
DEALESVILLE,9348
DEBE NEK,5604
"DEELKRAAL, Carletonville",2500
"DEEMOUNT ( Monday,Wednesday & Friday)",4681
DEEP SOUTH,2536
"DEEPDALE (Monday, Wednesday & Friday)",4521
"DEEPMEADOW, Meadowlands",1852
DEER PARK,0852
"DEERNESS, Pretoria",0084
"DEFENCE FORCE AREA, Pretoria",0002
"DEJERRING HEIGHTS, Pietermaritzburg",3201
"DEKLERKSHOF, Edenvale",1609
"DEL JUDOR & Ext/Uit 1, Witbank/ Emalahleni",1035
"DELAHAYE Est/Lgd, Bellville",7530
"DELAREY, Florida",1709
DELAREYVILLE,2770
"DELFT, Cape Town",7100
"DELFT, Eersterivier",7100
DELMAS,2210
DELMENVILLE Boxes,1403
"DELMENVILLE, Germiston",1401
DELMORE,1404
"DELPORTON, Krugersdorp",1739
"DELPORTSHOOP (Monday, Wednesday & Friday)",8377
"DELTFONTEIN, Cape Town",7100
"DELVILLE, Germiston",1401
